,MSE,MAE,R2,crossVal
erreur_prediction_client,39834,135,-0.19271215961358856,
erreur_regression_simple_test,33592,96,-0.005810441437871239,[ 0.008 -0.01  -0.006  0.002 -0.001]
erreur_regression_complete_test,29526,87,0.11592502578992703,[0.05  0.042 0.047 0.054 0.034]
erreur_random_forest_test,9869,57,0.7045003450268537,[ 0.131  0.546 -0.162  0.591  0.363]
erreur_gradient_boosting_test,13734,64,0.5887625662613158,[-0.18   0.483 -0.413  0.615  0.211]
erreur_SVM_test,32456,77,0.028193986385940062,[0.034 0.004 0.187 0.043 0.149]
erreur_random_forest_bruit_test,17950,78,0.4625219485769454,[ 0.083  0.194 -0.261  0.405 -0.064]
erreur_random_forest_decalage_test,10418,58,0.6880376753336197,[0.16  0.333 0.175 0.497 0.66 ]
xbg_bruit_test,16902,79,0.49391473356490234,[-0.026  0.111 -0.271  0.505 -0.23 ]
