id_client,y0,y1,y2,y3,y4,y5,y6,7
1,2516514,2383949,2219848,784663,949934,1793805,1077031,1305196
2,52221465,44513555,36429574,11765736,15999153,20227939,25630186,31395300
3,32407218,29878225,27259064,12309386,15821031,20704407,18706276,33655860
4,5630800,3932755,3843562,1881948,2500020,2365994,2486030,2627687
5,39834,33592,29526,9869,13734,32456,17950,16902
6,105568576,99589591,101393150,78540064,105362693,79851042,94757140,115968653
7,47008161,46904345,43705268,30123811,34615039,42050333,40266174,46023047
10,38965940,39220315,35168368,23714639,30345815,24793254,26048884,30017358
11,252745,189017,155183,147458,143729,148013,141354,152641
12,2677,825,562,178,138,410,489,498
13,464459,265441,263301,270841,283159,262620,270486,288017
14,9823,9910,9679,6757,7427,8330,7740,8418
15,1483,1403,730,476,472,631,812,834
16,3690107,3230480,2202192,608166,513438,1432055,810008,711856
18,16726879,13820501,13944975,6685564,8186820,11404443,11780200,13701519
19,6515,5410,5948,8431,8702,6531,7219,7664
20,94799,77152,75835,28231,30976,44900,36846,38355
21,261146,249094,232802,155836,165308,175872,152538,178386
22,968081,854026,804972,520248,476100,583697,623098,602163
24,38992,35425,34645,25029,29624,31483,27863,31259
25,4561,2243,1778,681,753,1331,1260,1418
26,124138,96006,60805,21468,23923,29656,33852,38394
27,3390,2759,2524,1303,1193,2577,2862,2909
29,312,235,189,96,110,108,322,422
30,233817,197068,155866,45235,51695,151064,174297,198105
31,183259,160881,153969,84942,89094,111184,119515,128020
32,1390,1309,1302,410,446,728,885,926
33,279171,235355,173236,89426,89955,106435,110259,140459
34,24749,10091,9867,2250,3024,5227,7354,7701
35,7626,7634,7567,5325,5862,7850,7566,8206
36,121734,119433,118604,63785,69419,124663,97245,101252
39,3091507,2483729,2479769,1350703,1751975,2370668,2214195,2201588
40,3082146,2616230,2542449,2421015,3208465,2613065,2388922,3271977
41,332047,257908,186741,89548,84580,72596,82088,90064
42,287203,269398,252174,115552,140094,218019,168493,177001
43,5455312,5085336,4993217,2625747,3256693,4157607,4432283,4637604
44,230796,181508,173464,160389,161981,189570,174832,161865
45,17880659,15623026,15306614,10883885,11000916,14052972,12134361,12923590
46,5155653,3221773,2539630,1400648,1338624,2578822,2277144,2523487
47,1736456,1588606,1116981,327033,409953,917439,858327,776550
48,51657553,6190246,6200720,3728575,4637310,5421494,5723845,6031082
